meal_id,n_items,food_sequence,total_carbs,total_protein,total_fat,total_fiber,max_gi,contains_vegetable,contains_protein,contains_fat,carb_first,protein_first,vegetable_first,food_names
meal_1,2,fat → vegetable,7.9,8.4,13.2,3.0,15,True,False,True,False,False,False,"Pumpkin seeds, Lettuce, romaine"
meal_2,3,carb → vegetable → protein,32.6,30.7,3.4000000000000004,4.199999999999999,65,True,True,False,True,False,False,"Couscous, cooked, Carrots, raw, Tilapia, baked"
meal_3,2,fat → dairy,10.899999999999999,9.4,14.1,3.5,32,False,False,True,False,False,False,"Almonds, Milk, skim"
meal_4,4,protein → protein → vegetable → carb,48.6,45.099999999999994,5.4,19.6,52,True,True,False,False,True,False,"Black beans, cooked, Venison, roasted, Spinach, raw, Corn, cooked"
meal_5,4,vegetable → carb → vegetable → protein,66.1,41.2,18.0,8.100000000000001,75,True,True,False,False,False,True,"Green peas, cooked, White bread, Zucchini, raw, Pork chop, lean"
meal_6,3,vegetable → carb → protein,56.6,37.7,4.8,2.5,72,True,True,False,False,False,True,"Cucumber, with peel, Bagel, plain, Tilapia, baked"
meal_7,3,protein → vegetable → carb,52.3,42.1,6.6,3.7,75,True,True,False,False,True,False,"Venison, roasted, Mushrooms, white, White bread"
meal_8,2,dairy → fat,9.7,15.0,14.4,3.5,35,False,False,True,False,False,False,"Greek yogurt, plain, Almonds"
meal_9,4,protein → protein → carb → vegetable,44.1,36.1,1.9000000000000001,18.0,78,True,True,False,False,True,False,"Shrimp, cooked, Black beans, cooked, Potato, white, baked, Zucchini, raw"
meal_10,4,protein → protein → vegetable → carb,27.200000000000003,24.3,9.9,7.3,55,True,True,False,False,True,False,"Edamame, shelled, Cottage cheese, 2% fat, Lettuce, romaine, Oatmeal, cooked"
meal_11,3,vegetable → carb → protein,52.1,36.2,6.6,3.7,75,True,True,False,False,False,True,"Zucchini, raw, White bread, Tilapia, baked"
meal_12,3,carb → vegetable → protein,32.5,18.6,11.8,5.6,68,True,True,False,True,False,False,"Brown rice, cooked, Brussels sprouts, Eggs, whole, cooked"
meal_13,3,vegetable → protein → carb,52.0,43.3,18.099999999999998,10.6,55,True,True,False,False,False,True,"Kale, raw, Pork chop, lean, Whole grain bread"
meal_14,4,vegetable → carb → protein → protein,42.3,41.1,5.7,11.0,55,True,True,False,False,False,True,"Mushrooms, white, Oatmeal, cooked, Tuna, canned in water, Chickpeas, cooked"
meal_15,4,vegetable → carb → protein → protein,79.4,32.099999999999994,14.5,11.8,75,True,True,False,False,False,True,"Green beans, White bread, Kidney beans, cooked, Eggs, whole, cooked"
meal_16,4,carb → protein → vegetable → vegetable,45.0,19.3,5.000000000000001,9.2,65,True,True,False,True,False,False,"Couscous, cooked, Tofu, firm, Green peas, cooked, Broccoli, raw"
meal_17,4,carb → vegetable → protein → protein,53.9,38.9,2.1,9.5,73,True,True,False,True,False,False,"White rice, cooked, Asparagus, cooked, Pinto beans, cooked, Tuna, canned in water"
meal_18,4,carb → vegetable → vegetable → protein,62.1,27.2,8.1,13.4,55,True,True,False,True,False,False,"Whole grain bread, Green peas, cooked, Zucchini, raw, Tofu, firm"
meal_19,2,dairy → fruit,15.6,2.4,10.2,2.4,36,False,False,False,False,False,False,"Cream cheese, Apple, with skin"
meal_20,4,carb → protein → vegetable → vegetable,40.9,35.8,15.4,8.3,68,True,True,False,True,False,False,"Brown rice, cooked, Pork chop, lean, Green peas, cooked, Asparagus, cooked"
meal_21,2,fruit → sweet,33.5,4.4,11.3,2.2,62,False,False,False,False,False,False,"Peach, Ice cream, vanilla"
meal_22,2,vegetable → fat,6.1,2.6,11.9,2.4,15,True,False,True,False,False,True,"Broccoli, raw, Butter"
meal_23,2,vegetable → protein,9.3,27.1,14.1,1.7,15,True,True,False,False,False,True,"Onions, raw, Pork chop, lean"
meal_24,3,carb → protein → vegetable,32.3,34.7,4.6000000000000005,3.5,68,True,True,False,True,False,False,"Brown rice, cooked, Chicken breast, grilled, Onions, raw"
meal_25,4,protein → carb → vegetable → protein,81.2,31.099999999999998,8.399999999999999,11.200000000000001,75,True,True,False,False,True,False,"Cottage cheese, 2% fat, White bread, Bell peppers, red, Kidney beans, cooked"
meal_26,4,vegetable → carb → protein → protein,43.3,41.1,5.8,10.7,55,True,True,False,False,False,True,"Onions, raw, Oatmeal, cooked, Chicken breast, grilled, Pinto beans, cooked"
meal_27,2,protein → sweet,100.0,26.0,3.0,0.0,65,False,True,False,False,True,False,"Tilapia, baked, White sugar"
meal_28,3,protein → vegetable → carb,30.0,32.6,1.3,4.1,65,True,True,False,False,True,False,"Tuna, canned in water, Green beans, Couscous, cooked"
meal_29,4,protein → vegetable → protein → carb,47.0,38.5,3.5999999999999996,10.5,53,True,True,False,False,True,False,"Shrimp, cooked, Lettuce, romaine, Kidney beans, cooked, Quinoa, cooked"
meal_30,4,carb → protein → vegetable → protein,74.3,45.1,5.2,15.7,55,True,True,False,True,False,False,"Whole grain bread, Pinto beans, cooked, Onions, raw, Shrimp, cooked"
meal_31,4,carb → vegetable → protein → protein,39.0,40.0,3.4000000000000004,11.0,55,True,True,False,True,False,False,"Oatmeal, cooked, Cauliflower, raw, Turkey breast, roasted, Pinto beans, cooked"
meal_32,3,protein → vegetable → carb,23.0,14.3,6.1,6.6,55,True,True,False,False,True,False,"Tofu, firm, Kale, raw, Oatmeal, cooked"
meal_33,3,carb → vegetable → protein,31.3,18.8,5.6,2.5,55,True,True,False,True,False,False,"Pasta, white, cooked, Lettuce, romaine, Cottage cheese, 2% fat"
meal_34,2,carb → fat,61.0,13.7,12.3,12.7,75,False,False,True,True,False,False,"White bread, Chia seeds"
meal_35,2,protein → dairy,5.3999999999999995,16.0,10.7,0.0,32,False,True,False,False,True,False,"Eggs, whole, cooked, Milk, skim"
meal_36,4,protein → vegetable → carb → protein,50.0,41.9,2.8,11.2,68,True,True,False,False,True,False,"Turkey breast, roasted, Broccoli, raw, Brown rice, cooked, Lima beans, cooked"
meal_37,3,vegetable → protein → carb,18.5,30.0,15.4,3.9,52,True,True,False,False,False,True,"Broccoli, raw, Pork chop, lean, Tortilla, corn"
meal_38,2,fat → carb,55.0,17.0,19.3,4.7,75,False,False,True,False,False,False,"Peanut butter, White bread"
meal_39,2,sweet → protein,55.0,15.5,34.0,4.4,43,False,True,False,False,False,False,"Milk chocolate, Tofu, firm"
meal_40,3,vegetable → carb → protein,26.6,32.3,2.0,2.3,68,True,True,False,False,False,True,"Cucumber, with peel, Brown rice, cooked, Turkey breast, roasted"
meal_41,3,vegetable → carb → protein,26.6,35.5,4.3,4.0,68,True,True,False,False,False,True,"Spinach, raw, Brown rice, cooked, Venison, roasted"
meal_42,4,vegetable → carb → protein → protein,44.9,36.8,13.799999999999999,18.2,78,True,True,False,False,False,True,"Tomatoes, raw, Potato, white, baked, Salmon, wild, cooked, Black beans, cooked"
meal_43,2,fruit → protein,9.5,29.9,1.3,1.5,42,False,True,False,False,False,False,"Peach, Turkey breast, roasted"
meal_44,4,vegetable → protein → protein → carb,64.5,28.7,12.1,14.6,42,True,True,False,False,False,True,"Eggplant, cooked, Eggs, whole, cooked, Lima beans, cooked, Pasta, whole wheat"
meal_45,3,carb → protein → vegetable,32.6,30.7,10.399999999999999,4.199999999999999,65,True,True,False,True,False,False,"Couscous, cooked, Ground beef, 90% lean, Carrots, raw"
meal_46,4,protein → protein → vegetable → carb,58.099999999999994,24.7,5.3,8.0,73,True,True,False,False,True,False,"Kidney beans, cooked, Cottage cheese, 2% fat, Tomatoes, raw, White rice, cooked"
meal_47,2,protein → carb,40.4,19.9,5.1,4.6,42,False,True,False,False,True,False,"Cottage cheese, 2% fat, Pasta, whole wheat"
meal_48,2,protein → dairy,1.6,33.1,13.6,0.0,0,False,True,False,False,True,False,"Chicken breast, grilled, Cream cheese"
meal_49,3,vegetable → protein → carb,26.6,31.5,15.3,4.0,68,True,True,False,False,False,True,"Spinach, raw, Pork chop, lean, Brown rice, cooked"
meal_50,3,vegetable → carb → protein,31.3,35.800000000000004,3.5999999999999996,1.4,73,True,True,False,False,False,True,"Mushrooms, white, White rice, cooked, Venison, roasted"
